offer_id,title,description,label,code,featured,source,deeplink,affiliate_link,cashback_link,url,image_url,brand_logo,type,store,merchant_home_page,categories,standard_categories,start_date,end_date,status,primary_location,locations,language,rating
9720860,"Save 35% off with Autoship at PetMeds with code: FOOD35","Save 35% off with Autoship at PetMeds with code: FOOD35 - evergreen offer - excluding Merck products","save 35%",FOOD35,No,pepperjam,,https://www.1800petmeds.com/,https://www.1800petmeds.com/,https://www.1800petmeds.com/,,https://brandlogos.org/api/get/images/?brand=1800petmeds.com&size=[size]&format=[format]&token=b061905397e44b387a5590ab545c592b6c8b028195527fb54c787caae0d5b4fa&domain=nectarly.us,Code,1800petmeds.com,https://www.1800petmeds.com/,,"Pet Supplies",2024-04-04,,,"United States of America",US,en,2
13141865,"Πακέτα προσφορών!","Βρείτε συγκεντρωμένα όλα τα πακέτα προσφορών!","Hot Προσφορά",,No,linkwise,,https://www.24home.gr/537/el/,https://www.24home.gr/537/el/,https://www.24home.gr/537/el/,https://affiliate.linkwi.se/files/162167165254d9c3194b8e5.png,https://brandlogos.org/api/get/images/?brand=24home.gr&size=[size]&format=[format]&token=605d634b6494282e527415267d0d990209d323cf8c6b5b5d474dc670b92e9445&domain=nectarly.us,Deal,24home.gr,https://www.24home.gr/,"Είδη Σπιτιού / Κήπος / DIY","Furniture and Decor,Gardening Supplies,Building Supplies",2024-10-06,,,Greece,GR,el,1
13248469,"Have a Big Announcement? Get the Word Out! | 24-7PressRelease.com","Have a Big Announcement? Get the Word Out! | 24-7PressRelease.com","Great Value",,No,cj,,http://www.24-7pressrelease.com/pricing_plans.php,http://www.24-7pressrelease.com/pricing_plans.php,http://www.24-7pressrelease.com/pricing_plans.php,,https://brandlogos.org/api/get/images/?brand=24-7pressrelease.com&size=[size]&format=[format]&token=6cf9dfbc1b43afc21cb9c18fd0a1c8373c7cda0a78fa2a4cb2f63f5b321786c4&domain=nectarly.us,Deal,24-7pressrelease.com,https://www.24-7pressrelease.com/,Marketing,,,,,"United States of America",US,en,1
13248471,"24-7PressRelease.com – Your ticket to publicity and visibility. Boost your revenue. Increase web traffic.","24-7PressRelease.com – Your ticket to publicity and visibility","Save Big",,No,cj,,http://www.24-7pressrelease.com/pricing_plans.php,http://www.24-7pressrelease.com/pricing_plans.php,http://www.24-7pressrelease.com/pricing_plans.php,,https://brandlogos.org/api/get/images/?brand=24-7pressrelease.com&size=[size]&format=[format]&token=6cf9dfbc1b43afc21cb9c18fd0a1c8373c7cda0a78fa2a4cb2f63f5b321786c4&domain=nectarly.us,Deal,24-7pressrelease.com,https://www.24-7pressrelease.com/,Marketing,,,,,"United States of America",US,en,1
13248474,"24-7Pressrelease – Effective press release distribution with results","24-7Pressrelease – Effective press release distribution with results","Save Big",,No,cj,,http://www.24-7pressrelease.com/pricing_plans.php,http://www.24-7pressrelease.com/pricing_plans.php,http://www.24-7pressrelease.com/pricing_plans.php,,https://brandlogos.org/api/get/images/?brand=24-7pressrelease.com&size=[size]&format=[format]&token=6cf9dfbc1b43afc21cb9c18fd0a1c8373c7cda0a78fa2a4cb2f63f5b321786c4&domain=nectarly.us,Deal,24-7pressrelease.com,https://www.24-7pressrelease.com/,Marketing,,,,,"United States of America",US,en,1
13248475,"24-7PressRelease.com – Your ticket to publicity and visibility.","24-7PressRelease.com – Your ticket to publicity and visibility.","Hot Offer",,No,cj,,http://www.24-7pressrelease.com/pricing_plans.php,http://www.24-7pressrelease.com/pricing_plans.php,http://www.24-7pressrelease.com/pricing_plans.php,,https://brandlogos.org/api/get/images/?brand=24-7pressrelease.com&size=[size]&format=[format]&token=6cf9dfbc1b43afc21cb9c18fd0a1c8373c7cda0a78fa2a4cb2f63f5b321786c4&domain=nectarly.us,Deal,24-7pressrelease.com,https://www.24-7pressrelease.com/,Marketing,,,,,"United States of America",US,en,1
13248476,"Publish Your Story to the World | 24-7PressRelease.com","Press Release Distribution 24-7PressRelease.com","Super Offer",,No,cj,,http://www.24-7pressrelease.com/pricing_plans.php,http://www.24-7pressrelease.com/pricing_plans.php,http://www.24-7pressrelease.com/pricing_plans.php,,https://brandlogos.org/api/get/images/?brand=24-7pressrelease.com&size=[size]&format=[format]&token=6cf9dfbc1b43afc21cb9c18fd0a1c8373c7cda0a78fa2a4cb2f63f5b321786c4&domain=nectarly.us,Deal,24-7pressrelease.com,https://www.24-7pressrelease.com/,Marketing,,,,,"United States of America",US,en,1
13248478,"Effective press release distribution service","Press Release service","Hot Offer",,No,cj,,http://www.24-7pressrelease.com/pricing_plans.php,http://www.24-7pressrelease.com/pricing_plans.php,http://www.24-7pressrelease.com/pricing_plans.php,,https://brandlogos.org/api/get/images/?brand=24-7pressrelease.com&size=[size]&format=[format]&token=6cf9dfbc1b43afc21cb9c18fd0a1c8373c7cda0a78fa2a4cb2f63f5b321786c4&domain=nectarly.us,Deal,24-7pressrelease.com,https://www.24-7pressrelease.com/,Marketing,,,,,"United States of America",US,en,1
13248479,"24-7PressRelease.com – Your ticket to publicity and visibility. Boost your revenue. Increase web traffic.","Press Release Distribution 24-7PressRelease.com","Hot Offer",,No,cj,,http://www.24-7pressrelease.com/pricing_plans.php,http://www.24-7pressrelease.com/pricing_plans.php,http://www.24-7pressrelease.com/pricing_plans.php,,https://brandlogos.org/api/get/images/?brand=24-7pressrelease.com&size=[size]&format=[format]&token=6cf9dfbc1b43afc21cb9c18fd0a1c8373c7cda0a78fa2a4cb2f63f5b321786c4&domain=nectarly.us,Deal,24-7pressrelease.com,https://www.24-7pressrelease.com/,Marketing,,,,,"United States of America",US,en,1
13248481,"Spread your news across the net. | 24-7PressRelease.com","Spread your news across the net. | 24-7PressRelease.com","Super Offer",,No,cj,,http://www.24-7pressrelease.com/pricing_plans.php,http://www.24-7pressrelease.com/pricing_plans.php,http://www.24-7pressrelease.com/pricing_plans.php,,https://brandlogos.org/api/get/images/?brand=24-7pressrelease.com&size=[size]&format=[format]&token=6cf9dfbc1b43afc21cb9c18fd0a1c8373c7cda0a78fa2a4cb2f63f5b321786c4&domain=nectarly.us,Deal,24-7pressrelease.com,https://www.24-7pressrelease.com/,Marketing,,,,,"United States of America",US,en,1
